total_immune_region_level,total_immune_spot_level,tissue_level_immune_class,library_id
38.69574,33.500004,Immune-low,BEME_346
1.4665425,2.8396027,Immune-poor,BEME_346
38.69574,38.443836,Immune-low,BEME_346
96.11404,166.33583,Immune-high,BEME_346
54.467182,65.02472,Immune-moderate-low,BEME_346
15.260765,17.696293,Immune-low,BEME_346
96.11404,123.71816,Immune-high,BEME_346
1.4665425,2.9031897,Immune-poor,BEME_346
54.467182,59.661045,Immune-moderate-low,BEME_346
15.260765,23.240444,Immune-low,BEME_346
1.4665425,0.07534034,Immune-poor,BEME_346
93.843414,84.64914,Immune-high,BEME_346
45.566067,48.39066,Immune-moderate-low,BEME_346
15.260765,27.987043,Immune-low,BEME_346
7.338196,9.092009,Immune-poor,BEME_346
45.566067,51.279408,Immune-moderate-low,BEME_346
96.11404,85.835785,Immune-high,BEME_346
93.843414,107.601715,Immune-high,BEME_346
1.4665425,0.71823627,Immune-poor,BEME_346
64.28651,65.46725,Immune-moderate-high,BEME_346
7.338196,10.559576,Immune-poor,BEME_346
54.467182,60.51682,Immune-moderate-low,BEME_346
38.69574,30.597923,Immune-low,BEME_346
45.566067,45.45073,Immune-moderate-low,BEME_346
54.467182,40.50939,Immune-moderate-low,BEME_346
38.69574,33.615284,Immune-low,BEME_346
54.467182,47.12984,Immune-moderate-low,BEME_346
54.467182,59.7529,Immune-moderate-low,BEME_346
38.69574,30.078238,Immune-low,BEME_346
96.11404,59.613926,Immune-high,BEME_346
38.69574,35.945877,Immune-low,BEME_346
64.28651,63.10487,Immune-moderate-high,BEME_346
15.260765,7.8536334,Immune-low,BEME_346
7.338196,4.92476,Immune-poor,BEME_346
96.11404,71.495964,Immune-high,BEME_346
38.69574,46.23297,Immune-low,BEME_346
38.69574,45.08258,Immune-low,BEME_346
96.11404,83.8713,Immune-high,BEME_346
96.11404,57.529793,Immune-high,BEME_346
15.260765,20.400078,Immune-low,BEME_346
54.467182,54.729298,Immune-moderate-low,BEME_346
1.4665425,1.1252506,Immune-poor,BEME_346
7.338196,3.4212208,Immune-poor,BEME_346
54.467182,53.796757,Immune-moderate-low,BEME_346
54.467182,81.11068,Immune-moderate-low,BEME_346
54.467182,50.318714,Immune-moderate-low,BEME_346
96.11404,77.632965,Immune-high,BEME_346
1.4665425,1.9968141,Immune-poor,BEME_346
1.4665425,1.1065438,Immune-poor,BEME_346
93.843414,120.10826,Immune-high,BEME_346
1.4665425,0.6917113,Immune-poor,BEME_346
96.11404,71.06979,Immune-high,BEME_346
38.69574,49.4083,Immune-low,BEME_346
7.338196,14.443335,Immune-poor,BEME_346
38.69574,30.34662,Immune-low,BEME_346
1.4665425,0.37381107,Immune-poor,BEME_346
45.566067,47.329323,Immune-moderate-low,BEME_346
24.591093,29.010996,Immune-low,BEME_346
54.467182,33.848057,Immune-moderate-low,BEME_346
64.28651,69.41484,Immune-moderate-high,BEME_346
7.338196,6.1188593,Immune-poor,BEME_346
15.260765,20.821619,Immune-low,BEME_346
54.467182,60.793907,Immune-moderate-low,BEME_346
64.28651,61.562176,Immune-moderate-high,BEME_346
64.28651,60.92055,Immune-moderate-high,BEME_346
7.338196,2.9499943,Immune-poor,BEME_346
1.4665425,0.41251883,Immune-poor,BEME_346
38.69574,32.785656,Immune-low,BEME_346
64.28651,55.543396,Immune-moderate-high,BEME_346
38.69574,34.28572,Immune-low,BEME_346
64.28651,69.63283,Immune-moderate-high,BEME_346
96.11404,86.36878,Immune-high,BEME_346
7.338196,5.2106442,Immune-poor,BEME_346
96.11404,154.00331,Immune-high,BEME_346
38.69574,31.581573,Immune-low,BEME_346
1.4665425,0.72654235,Immune-poor,BEME_346
64.28651,63.05309,Immune-moderate-high,BEME_346
15.260765,20.176693,Immune-low,BEME_346
64.28651,80.77583,Immune-moderate-high,BEME_346
1.4665425,2.732968,Immune-poor,BEME_346
96.11404,112.30996,Immune-high,BEME_346
54.467182,46.62329,Immune-moderate-low,BEME_346
38.69574,30.839165,Immune-low,BEME_346
15.260765,20.631767,Immune-low,BEME_346
96.11404,84.48235,Immune-high,BEME_346
15.260765,28.271074,Immune-low,BEME_346
93.843414,84.411,Immune-high,BEME_346
38.69574,26.251265,Immune-low,BEME_346
1.4665425,2.2036262,Immune-poor,BEME_346
45.566067,47.38238,Immune-moderate-low,BEME_346
38.69574,32.89594,Immune-low,BEME_346
38.69574,25.134533,Immune-low,BEME_346
15.260765,15.8159275,Immune-low,BEME_346
96.11404,83.065315,Immune-high,BEME_346
7.338196,13.759935,Immune-poor,BEME_346
93.843414,81.28725,Immune-high,BEME_346
15.260765,11.86795,Immune-low,BEME_346
96.11404,59.681877,Immune-high,BEME_346
38.69574,33.944595,Immune-low,BEME_346
93.843414,77.33744,Immune-high,BEME_346
96.11404,71.260376,Immune-high,BEME_346
96.11404,164.47394,Immune-high,BEME_346
64.28651,58.482563,Immune-moderate-high,BEME_346
54.467182,49.817047,Immune-moderate-low,BEME_346
1.4665425,2.3135605,Immune-poor,BEME_346
93.843414,88.52411,Immune-high,BEME_346
64.28651,65.9752,Immune-moderate-high,BEME_346
38.69574,31.04264,Immune-low,BEME_346
93.843414,80.05629,Immune-high,BEME_346
45.566067,49.6529,Immune-moderate-low,BEME_346
1.4665425,0.21205112,Immune-poor,BEME_346
64.28651,59.92794,Immune-moderate-high,BEME_346
64.28651,70.125145,Immune-moderate-high,BEME_346
15.260765,17.917196,Immune-low,BEME_346
1.4665425,2.4837627,Immune-poor,BEME_346
1.4665425,2.1341956,Immune-poor,BEME_346
15.260765,13.175063,Immune-low,BEME_346
93.843414,81.19117,Immune-high,BEME_346
96.11404,81.69769,Immune-high,BEME_346
1.4665425,1.6608967,Immune-poor,BEME_346
96.11404,99.481384,Immune-high,BEME_346
1.4665425,0.040856324,Immune-poor,BEME_346
15.260765,11.761724,Immune-low,BEME_346
45.566067,46.18506,Immune-moderate-low,BEME_346
7.338196,3.8721976,Immune-poor,BEME_346
64.28651,60.7162,Immune-moderate-high,BEME_346
1.4665425,2.7678428,Immune-poor,BEME_346
1.4665425,3.0867255,Immune-poor,BEME_346
45.566067,37.00268,Immune-moderate-low,BEME_346
96.11404,100.73084,Immune-high,BEME_346
38.69574,60.589745,Immune-low,BEME_346
54.467182,58.199055,Immune-moderate-low,BEME_346
64.28651,64.2516,Immune-moderate-high,BEME_346
7.338196,7.344796,Immune-poor,BEME_346
45.566067,46.53357,Immune-moderate-low,BEME_346
15.260765,13.167257,Immune-low,BEME_346
54.467182,72.142296,Immune-moderate-low,BEME_346
96.11404,84.75371,Immune-high,BEME_346
64.28651,63.239113,Immune-moderate-high,BEME_346
64.28651,61.722363,Immune-moderate-high,BEME_346
93.843414,85.475426,Immune-high,BEME_346
96.11404,82.253975,Immune-high,BEME_346
7.338196,13.426937,Immune-poor,BEME_346
38.69574,47.421753,Immune-low,BEME_346
45.566067,38.097183,Immune-moderate-low,BEME_346
45.566067,43.45534,Immune-moderate-low,BEME_346
1.4665425,2.3341265,Immune-poor,BEME_346
7.338196,4.4102674,Immune-poor,BEME_346
15.260765,12.409805,Immune-low,BEME_346
54.467182,54.76893,Immune-moderate-low,BEME_346
64.28651,61.341175,Immune-moderate-high,BEME_346
93.843414,79.19106,Immune-high,BEME_346
38.69574,32.76212,Immune-low,BEME_346
64.28651,70.5955,Immune-moderate-high,BEME_346
1.4665425,1.4727107,Immune-poor,BEME_346
45.566067,50.517353,Immune-moderate-low,BEME_346
96.11404,107.73108,Immune-high,BEME_346
64.28651,70.599495,Immune-moderate-high,BEME_346
1.4665425,1.4837406,Immune-poor,BEME_346
7.338196,4.3795567,Immune-poor,BEME_346
1.4665425,0.18887173,Immune-poor,BEME_346
93.843414,111.47772,Immune-high,BEME_346
38.69574,53.962555,Immune-low,BEME_346
45.566067,37.66086,Immune-moderate-low,BEME_346
15.260765,18.74002,Immune-low,BEME_346
7.338196,4.897583,Immune-poor,BEME_346
1.4665425,0.022773832,Immune-poor,BEME_346
15.260765,11.23806,Immune-low,BEME_346
38.69574,38.55927,Immune-low,BEME_346
38.69574,46.80335,Immune-low,BEME_346
38.69574,43.446106,Immune-low,BEME_346
38.69574,46.75005,Immune-low,BEME_346
93.843414,87.04993,Immune-high,BEME_346
15.260765,15.1821785,Immune-low,BEME_346
38.69574,39.234005,Immune-low,BEME_346
15.260765,24.824175,Immune-low,BEME_346
38.69574,31.485825,Immune-low,BEME_346
38.69574,32.290764,Immune-low,BEME_346
15.260765,11.532332,Immune-low,BEME_346
1.4665425,0.9135829,Immune-poor,BEME_346
93.843414,93.75171,Immune-high,BEME_346
93.843414,88.66619,Immune-high,BEME_346
54.467182,41.05447,Immune-moderate-low,BEME_346
96.11404,74.48538,Immune-high,BEME_346
54.467182,63.806602,Immune-moderate-low,BEME_346
15.260765,14.802966,Immune-low,BEME_346
93.843414,95.36594,Immune-high,BEME_346
15.260765,23.0704,Immune-low,BEME_346
64.28651,56.03617,Immune-moderate-high,BEME_346
15.260765,10.520847,Immune-low,BEME_346
96.11404,54.559483,Immune-high,BEME_346
38.69574,28.525078,Immune-low,BEME_346
93.843414,98.752846,Immune-high,BEME_346
38.69574,45.501247,Immune-low,BEME_346
45.566067,48.890797,Immune-moderate-low,BEME_346
24.591093,23.902084,Immune-low,BEME_346
1.4665425,1.2447456,Immune-poor,BEME_346
38.69574,32.181644,Immune-low,BEME_346
45.566067,47.429165,Immune-moderate-low,BEME_346
54.467182,43.319065,Immune-moderate-low,BEME_346
93.843414,90.06444,Immune-high,BEME_346
54.467182,55.122944,Immune-moderate-low,BEME_346
15.260765,11.006261,Immune-low,BEME_346
54.467182,44.725147,Immune-moderate-low,BEME_346
54.467182,58.36949,Immune-moderate-low,BEME_346
54.467182,66.972694,Immune-moderate-low,BEME_346
15.260765,6.6114597,Immune-low,BEME_346
38.69574,38.621593,Immune-low,BEME_346
96.11404,85.66079,Immune-high,BEME_346
1.4665425,0.40349537,Immune-poor,BEME_346
24.591093,28.60339,Immune-low,BEME_346
1.4665425,2.3344307,Immune-poor,BEME_346
38.69574,39.272236,Immune-low,BEME_346
64.28651,75.3221,Immune-moderate-high,BEME_346
54.467182,73.544,Immune-moderate-low,BEME_346
64.28651,54.75293,Immune-moderate-high,BEME_346
45.566067,40.40054,Immune-moderate-low,BEME_346
15.260765,14.788369,Immune-low,BEME_346
54.467182,51.95036,Immune-moderate-low,BEME_346
1.4665425,1.3956529,Immune-poor,BEME_346
45.566067,45.282936,Immune-moderate-low,BEME_346
7.338196,5.84254,Immune-poor,BEME_346
64.28651,58.656395,Immune-moderate-high,BEME_346
96.11404,80.40328,Immune-high,BEME_346
93.843414,90.41701,Immune-high,BEME_346
7.338196,6.3510733,Immune-poor,BEME_346
54.467182,64.97787,Immune-moderate-low,BEME_346
7.338196,5.5806775,Immune-poor,BEME_346
64.28651,59.56829,Immune-moderate-high,BEME_346
93.843414,81.386765,Immune-high,BEME_346
96.11404,100.677055,Immune-high,BEME_346
96.11404,59.531597,Immune-high,BEME_346
1.4665425,0.39632604,Immune-poor,BEME_346
64.28651,73.73444,Immune-moderate-high,BEME_346
38.69574,34.65366,Immune-low,BEME_346
1.4665425,0.46780485,Immune-poor,BEME_346
96.11404,69.99533,Immune-high,BEME_346
1.4665425,0.6099053,Immune-poor,BEME_346
64.28651,67.10569,Immune-moderate-high,BEME_346
38.69574,37.076717,Immune-low,BEME_346
7.338196,6.556752,Immune-poor,BEME_346
64.28651,71.429985,Immune-moderate-high,BEME_346
7.338196,13.346779,Immune-poor,BEME_346
7.338196,5.399053,Immune-poor,BEME_346
7.338196,4.0665727,Immune-poor,BEME_346
54.467182,56.745457,Immune-moderate-low,BEME_346
