immune_cell_type,cell_type_short,tissue_type,n_cells,core_sen_score,sasp_score,composite_sen_score,dysfunction_score,prop_sen_high,prop_dys_high,prop_co_occurrence
CD8 T cells,CD8 T,EcP,69,-0.05396283268698172,-0.07729826734734865,-0.16228956139797893,-0.13845350152628433,0.2898550724637681,0.30434782608695654,0.11594202898550725
CD8 T cells,CD8 T,EuE,198,-0.08544107563026024,-0.10408736492089206,-0.1796838357312487,-0.16052315841971423,0.23737373737373738,0.23232323232323232,0.10606060606060606
Tregs,Treg,Ctrl,27,0.04905740195144842,-0.1526006633106363,-0.10709659794469727,0.1118921587570214,0.37037037037037035,0.3333333333333333,0.18518518518518517
Tregs,Treg,EcO,38,-0.03487111868147265,-0.15791010024236107,-0.16101494774233158,0.031450064239794746,0.18421052631578946,0.18421052631578946,0.07894736842105263
Tregs,Treg,EcP,223,-0.01425738205289627,-0.16510358897235283,-0.15692378286263817,0.09290508958701775,0.2062780269058296,0.242152466367713,0.07174887892376682
Tregs,Treg,EuE,208,-0.01299983437741414,-0.14614688650817498,-0.14389397320263142,0.09012769882400067,0.2932692307692308,0.25961538461538464,0.14903846153846154
γδ T cells,γδ T,Ctrl,392,-0.006379674915351026,0.12034035488615578,-0.006078420456987574,-0.11708139329185697,0.20918367346938777,0.15306122448979592,0.09183673469387756
γδ T cells,γδ T,EcO,844,-0.03350827967828672,0.09424067204637793,0.00016558080711767288,-0.04621565481874426,0.22274881516587677,0.2938388625592417,0.12914691943127962
γδ T cells,γδ T,EcP,1903,-0.02241368944048986,0.09201383398609624,-0.0017687855142935487,-0.07386385278884282,0.20651602732527588,0.22595901208617972,0.12138728323699421
γδ T cells,γδ T,EuE,1450,-0.01107287991901924,0.11058827035294964,0.03084962205368052,-0.043839455909427553,0.33379310344827584,0.28206896551724137,0.17310344827586208
B cells,B,Ctrl,133,0.02614710435592441,-0.14076371839764165,-0.15387792111950066,0.0346145167050505,0.24060150375939848,0.3533834586466165,0.09774436090225563
B cells,B,EcO,141,0.021324015187033526,-0.13737607008463346,-0.15269519478718313,0.005624321225687121,0.3120567375886525,0.2978723404255319,0.10638297872340426
B cells,B,EcP,495,0.002517831472595934,-0.13713054997795415,-0.1581441535383292,0.002269406616085708,0.21414141414141413,0.2545454545454545,0.07474747474747474
B cells,B,EuE,550,0.018373723633795074,-0.12888963938566383,-0.15344600269226283,-0.01421203120675954,0.2690909090909091,0.20909090909090908,0.05090909090909091
