ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
HLA-B,HLA-B,3.2451503,1.0,KLRD1,KLRD1,2.4462187,0.9547650417215635,CD8 T,NK-CD16-,2.8456845,0.0
HLA-B,HLA-B,3.144843,1.0,KLRD1,KLRD1,2.539102,0.963531669865643,pDC,NK-CD16+,2.8419726,0.0
S100A9,S100A9,4.607301,0.9969481180061037,CD68,CD68,1.0591074,0.8421052631578947,Mono-C,pDC,2.8332043,0.0
HLA-B,HLA-B,3.1985424,1.0,CD3D,CD3D,2.4646685,0.9759615384615384,Mono-NC,Treg,2.8316054,0.0
B2M,B2M,5.0863523,1.0,KLRC1,KLRC1,0.57339317,0.31669865642994244,Treg,NK-CD16+,2.8298728,0.0
HLA-B,HLA-B,3.1985424,1.0,KLRD1,KLRD1,2.4462187,0.9547650417215635,Mono-NC,NK-CD16-,2.8223805,0.0
HLA-B,HLA-B,3.1672554,0.995850622406639,CD3D,CD3D,2.4646685,0.9759615384615384,CD4 T,Treg,2.8159618,0.0
TNFSF13B,TNFSF13B,1.2829206,0.8870803662258393,HLA-DPB1,HLA-DPB1,4.34156,1.0,Mono-C,cDC1,2.8122401,0.0
HLA-B,HLA-B,3.1672554,0.995850622406639,KLRD1,KLRD1,2.4462187,0.9547650417215635,CD4 T,NK-CD16-,2.806737,0.0
HLA-B,HLA-B,3.144843,1.0,CD3D,CD3D,2.4646685,0.9759615384615384,pDC,Treg,2.8047557,0.0
HLA-A,HLA-A,3.716352,1.0,APLP2,APLP2,1.8840419,0.965412004069176,Treg,Mono-C,2.800197,0.0
APP,APP,1.5960888,0.9605263157894737,CD74,CD74,4.003492,1.0,pDC,pDC,2.7997904,0.0
HLA-B,HLA-B,3.144843,1.0,KLRD1,KLRD1,2.4462187,0.9547650417215635,pDC,NK-CD16-,2.7955308,0.0
S100A8,S100A8,3.9961972,0.9969481180061037,CD36,CD36,1.5925909,0.9277721261444557,Mono-C,Mono-C,2.794394,0.0
HLA-DRA,HLA-DRA,4.4318924,0.9900497512437811,CD4,CD4,1.1303284,0.8289473684210527,cDC2,pDC,2.7811103,0.0
HLA-DPA1,HLA-DPA1,4.4260187,1.0,CD4,CD4,1.1303284,0.8289473684210527,cDC1,pDC,2.7781734,0.0
HLA-B,HLA-B,3.2537735,0.9969481180061037,CD3D,CD3D,2.2950902,0.9675862068965517,Mono-C,γδ T,2.7744317,0.0
HLA-B,HLA-B,3.0082042,0.9937629937629938,KLRD1,KLRD1,2.539102,0.963531669865643,TRM,NK-CD16+,2.773653,0.0
B2M,B2M,5.0863523,1.0,KLRD1,KLRD1,0.45728043,0.25103448275862067,Treg,γδ T,2.7718165,0.0
HLA-B,HLA-B,3.6747324,1.0,CD3D,CD3D,1.8688536,0.9266943291839558,Treg,CD4 T,2.771793,0.0
HLA-B,HLA-B,3.2451503,1.0,CD3D,CD3D,2.2950902,0.9675862068965517,CD8 T,γδ T,2.7701201,0.0
COPA,COPA,0.69120336,0.7236842105263158,CD74,CD74,4.8439107,1.0,pDC,cDC1,2.7675571,0.0
HLA-B,HLA-B,2.9939091,0.9789196310935442,KLRD1,KLRD1,2.539102,0.963531669865643,NK-CD16-,NK-CD16+,2.7665057,0.0
HLA-A,HLA-A,3.716352,1.0,APLP2,APLP2,1.8149493,0.9656964656964657,Treg,TRM,2.7656507,0.0
B2M,B2M,4.5919514,1.0,KLRC2,KLRC2,0.9377544,0.5911286780851999,CD4 T,NK-CD16-,2.764853,0.0
B2M,B2M,5.0863523,1.0,KIR2DL3,KIR2DL3,0.42247096,0.3012736056214317,Treg,NK-CD16-,2.7544117,0.0
HLA-B,HLA-B,2.9650218,1.0,KLRD1,KLRD1,2.539102,0.963531669865643,B,NK-CD16+,2.7520618,0.0
B2M,B2M,4.5919514,1.0,CD1C,CD1C,0.9064605,0.6293532338308457,CD4 T,cDC2,2.749206,0.0
HLA-B,HLA-B,3.6266181,1.0,CD3D,CD3D,1.8688536,0.9266943291839558,γδ T,CD4 T,2.747736,0.0
B2M,B2M,4.557631,1.0,KLRC2,KLRC2,0.9377544,0.5911286780851999,CD8 T,NK-CD16-,2.7476926,0.0
HLA-B,HLA-B,3.1985424,1.0,CD3D,CD3D,2.2950902,0.9675862068965517,Mono-NC,γδ T,2.7468162,0.0
COPA,COPA,0.63848394,0.6561546286876907,CD74,CD74,4.8439107,1.0,Mono-C,cDC1,2.7411973,0.0
S100A8,S100A8,3.9961972,0.9969481180061037,CD69,CD69,1.4843446,0.8333333333333334,Mono-C,CD8 T,2.7402709,0.0
HLA-B,HLA-B,3.0082042,0.9937629937629938,CD3D,CD3D,2.4646685,0.9759615384615384,TRM,Treg,2.7364364,0.0
HLA-DPB1,HLA-DPB1,4.34156,1.0,CD4,CD4,1.1303284,0.8289473684210527,cDC1,pDC,2.7359443,0.0
B2M,B2M,5.0863523,1.0,CD1A,CD1A,0.38342288,0.3358208955223881,Treg,cDC2,2.7348876,0.0
B2M,B2M,4.557631,1.0,CD1C,CD1C,0.9064605,0.6293532338308457,CD8 T,cDC2,2.7320457,0.0
HLA-B,HLA-B,3.1672554,0.995850622406639,CD3D,CD3D,2.2950902,0.9675862068965517,CD4 T,γδ T,2.7311728,0.0
HLA-B,HLA-B,2.9939091,0.9789196310935442,CD3D,CD3D,2.4646685,0.9759615384615384,NK-CD16-,Treg,2.7292888,0.0
APP,APP,1.5960888,0.9605263157894737,CD74,CD74,3.8604069,0.9981818181818182,pDC,B,2.728248,0.0
HLA-B,HLA-B,3.0082042,0.9937629937629938,KLRD1,KLRD1,2.4462187,0.9547650417215635,TRM,NK-CD16-,2.7272115,0.0
TNFSF13B,TNFSF13B,1.111482,0.9090909090909091,HLA-DPB1,HLA-DPB1,4.34156,1.0,Mono-NC,cDC1,2.726521,0.0
B2M,B2M,4.5144343,1.0,KLRC2,KLRC2,0.9377544,0.5911286780851999,Mono-NC,NK-CD16-,2.7260942,0.0
S100A9,S100A9,4.607301,0.9969481180061037,ITGB2,ITGB2,0.8444157,0.6298076923076923,Mono-C,Treg,2.7258584,0.0
HLA-DRA,HLA-DRA,4.4318924,0.9900497512437811,CD4,CD4,1.0098935,0.8056968463886063,cDC2,Mono-C,2.720893,0.0
HLA-B,HLA-B,2.9939091,0.9789196310935442,KLRD1,KLRD1,2.4462187,0.9547650417215635,NK-CD16-,NK-CD16-,2.720064,0.0
HLA-B,HLA-B,3.144843,1.0,CD3D,CD3D,2.2950902,0.9675862068965517,pDC,γδ T,2.7199667,0.0
HLA-DPA1,HLA-DPA1,4.4260187,1.0,CD4,CD4,1.0098935,0.8056968463886063,cDC1,Mono-C,2.717956,0.0
HLA-DRA,HLA-DRA,4.9169207,1.0,CD4,CD4,0.5148651,0.41632088520055327,cDC1,CD4 T,2.7158928,0.0
B2M,B2M,4.8582883,1.0,KLRC1,KLRC1,0.57339317,0.31669865642994244,NK-CD16+,NK-CD16+,2.7158408,0.0
HLA-B,HLA-B,2.9650218,1.0,CD3D,CD3D,2.4646685,0.9759615384615384,B,Treg,2.7148452,0.0
B2M,B2M,4.5144343,1.0,CD1C,CD1C,0.9064605,0.6293532338308457,Mono-NC,cDC2,2.7104473,0.0
S100A9,S100A9,4.607301,0.9969481180061037,TLR4,TLR4,0.81259894,0.7507629704984741,Mono-C,Mono-C,2.70995,0.0
HLA-DRA,HLA-DRA,4.4318924,0.9900497512437811,CD4,CD4,0.98362136,0.8087318087318087,cDC2,TRM,2.707757,0.0
HLA-B,HLA-B,2.9650218,1.0,KLRD1,KLRD1,2.4462187,0.9547650417215635,B,NK-CD16-,2.7056203,0.0
COPA,COPA,0.5669264,0.7110187110187111,CD74,CD74,4.8439107,1.0,TRM,cDC1,2.7054186,0.0
HLA-DPA1,HLA-DPA1,4.4260187,1.0,CD4,CD4,0.98362136,0.8087318087318087,cDC1,TRM,2.7048202,0.0
S100A8,S100A8,3.9961972,0.9969481180061037,CD68,CD68,1.4085379,0.9206510681586979,Mono-C,Mono-C,2.7023675,0.0
HLA-DRA,HLA-DRA,4.4318924,0.9900497512437811,CD4,CD4,0.96224767,0.8656716417910447,cDC2,cDC2,2.6970701,0.0
S100A9,S100A9,4.607301,0.9969481180061037,ITGB2,ITGB2,0.78463626,0.5885200553250346,Mono-C,CD4 T,2.6959686,0.0
S100A9,S100A9,4.607301,0.9969481180061037,CD36,CD36,0.78400874,0.7631578947368421,Mono-C,pDC,2.6956549,0.0
B2M,B2M,4.4525433,1.0,KLRC2,KLRC2,0.9377544,0.5911286780851999,cDC1,NK-CD16-,2.695149,0.0
HLA-DPA1,HLA-DPA1,4.4260187,1.0,CD4,CD4,0.96224767,0.8656716417910447,cDC1,cDC2,2.6941333,0.0
B2M,B2M,5.0863523,1.0,KIR2DL1,KIR2DL1,0.30121595,0.24110671936758893,Treg,NK-CD16-,2.6937842,0.0
HLA-B,HLA-B,3.516143,0.9980806142034548,CD3D,CD3D,1.8688536,0.9266943291839558,NK-CD16+,CD4 T,2.6924982,0.0
HLA-DRA,HLA-DRA,4.4318924,0.9900497512437811,CD4,CD4,0.94489896,0.8983957219251337,cDC2,Mono-NC,2.6883957,0.0
B2M,B2M,4.800268,1.0,KLRC1,KLRC1,0.57339317,0.31669865642994244,γδ T,NK-CD16+,2.6868308,0.0
HLA-DPA1,HLA-DPA1,4.4260187,1.0,CD4,CD4,0.94489896,0.8983957219251337,cDC1,Mono-NC,2.685459,0.0
S100A8,S100A8,3.9961972,0.9969481180061037,ITGB2,ITGB2,1.3746808,0.8490566037735849,Mono-C,cDC1,2.685439,0.0
HLA-DRB1,HLA-DRB1,4.230029,1.0,CD4,CD4,1.1303284,0.8289473684210527,cDC1,pDC,2.6801786,0.0
B2M,B2M,4.4525433,1.0,CD1C,CD1C,0.9064605,0.6293532338308457,cDC1,cDC2,2.679502,0.0
HLA-DPB1,HLA-DPB1,4.34156,1.0,CD4,CD4,1.0098935,0.8056968463886063,cDC1,Mono-C,2.6757267,0.0
B2M,B2M,5.0863523,1.0,KLRC1,KLRC1,0.2630782,0.20202020202020202,Treg,CD8 T,2.6747153,0.002
B2M,B2M,5.0863523,1.0,KLRC1,KLRC1,0.2597105,0.13724137931034483,Treg,γδ T,2.6730313,0.0
COPA,COPA,0.48984343,0.6310160427807486,CD74,CD74,4.8439107,1.0,Mono-NC,cDC1,2.666877,0.0
HLA-A,HLA-A,3.716352,1.0,LILRB2,LILRB2,1.6156477,0.9946524064171123,Treg,Mono-NC,2.666,0.0
HLA-DPB1,HLA-DPB1,4.34156,1.0,CD4,CD4,0.98362136,0.8087318087318087,cDC1,TRM,2.6625905,0.0
